track_name,track_artist,decade,track_id,year,track_album_release_date,playlist_genre,Energy,Danceability,Valence,Acousticness,Instrumentalness
Green Bubble,Sleepy Tom,20s,2S5VE8tDgrCgFtsjwJyZMp,2020,2020-10-23,lofi,0.38264057454514844,0.5978697967612217,0.09442239398370586,0.9136543072479548,0.9243188698284561
Gold Tear,Sleepy Tom,20s,1aG9wJslSw9pfWen9fB3XH,2020,2020-10-30,lofi,0.4558016752889864,0.38484947288338217,0.07666597033632755,0.5501991819428346,0.9172552976791121
rainbow bridge,a girl and a cat,20s,4Vi2qeM4UPviTzuKohUIr3,2021,2021-01-01,lofi,0.3195015423963568,0.6696011303119227,0.15395863797785667,0.6315247762790631,0.9313824419778003
Floetry,Altair Blake,20s,2F4rlIiJHKg5ebub5cMECC,2020,2020-10-02,lofi,0.22429189074341702,0.7978480599934791,0.47357426363066635,0.10943454103413888,0.7325933400605449
Violet City (Pokémon Gold & Silver),Ren Avel,20s,7k7bdSLiIYHhYX95E5n7DD,2021,2021-04-09,lofi,0.46983257132205114,0.7424193022497555,0.7388761228326718,0.4518052529928296,0.9112008072653885
Floating Away,Altair Blake,20s,1QBMc979Via10RvuzUTcPm,2020,2020-11-06,lofi,0.14110872140453276,0.5250516248233887,0.07562147482765823,0.6495971305760028,0.1099899091826438
Fall Vibes,LoFi Waiter,20s,69ZtjFuw1CU0iCepIVMlw1,2020,2020-11-06,lofi,0.4868700879336299,0.706553635474405,0.338834343012325,0.046080899026533645,0.8728557013118062
Sueca,lorleaf,20s,51YcG5rNWcsUsOwSQPVqk0,2024,2024-10-11,jazz,0.332530231569917,0.7445929790240191,0.5174430749947775,0.4799178041214024,0.9021190716448032
Streets Of Rio,"Erwin Do, Lenny B",20s,3D7tHItozfNTG5jJGxkMCV,2024,2024-10-22,jazz,0.4618149164460142,0.843495272253016,0.66576143722582,0.5853398708535505,0.9434914228052473
Drizzle,Philanthrope,20s,5upFjPY4295n6g5AAr9LZq,2024,2024-11-08,jazz,0.5931040150411205,0.8456689490272796,0.34927929809901814,0.10742650166781224,0.829465186680121
Yuna,"Kanisan, lost echoes",20s,0myPNIeqjElCgxGy1NrnJO,2023,2023-11-21,jazz,0.16616389289214853,0.6630800999891316,0.010444955086693129,0.6194765400811033,0.8728557013118062
Butterfly Weed,The Lofi Big Band,20s,52ISO2r8yrzFsaU54cSMJ9,2023,2023-11-22,jazz,0.4578060890079957,0.6098250190196718,0.3461458115730102,0.5923680086356937,0.9152371342078709
Call a Friend,"C4C, Plusma",20s,7LV39mLX4OVV5k8csHFq8f,2024,2024-08-09,jazz,0.21527202900787534,0.5348331703075753,0.4411949028619177,0.7640553744566208,0.9101917255297679
Tokyo Lights,"Shuko, FLKS",20s,4DkAN8ownDd6sDUOVUZyG4,2024,2024-01-26,jazz,0.6993379421486112,0.628301271600913,0.6333820764570712,0.049494565949288916,0.893037336024218
Duende,"flâneur, Dani Catalá, dennisivnvc",20s,1m5O3VNj0yGcZdzg5NxMCF,2024,2024-04-04,jazz,0.3405478864459541,0.5022280186936202,0.47148527261332773,0.672689583288759,0.8900100908173563
Calm Winds,Dpsht,20s,22x6TxJlGxZfQjJbAN4cQY,2024,2024-05-17,jazz,0.20825658099134292,0.876100423866971,0.28869855859619803,0.9658633307724472,0.7608476286579213
Fire Barrel,"No Spirit, Sátyr, Sitting Duck",20s,2mxp3XhXa2sowJs1NOJcLk,2023,2023-12-08,jazz,0.4467818135534447,0.634822301923704,0.38688113641111344,0.8554211656244824,0.9606458123107972
lemon soda,"Jost Esser, Sleeping Dove, very noise person",20s,3h641YOd617QlxVMI4u2ds,2024,2024-03-21,jazz,0.3315280247104124,0.6848168677317683,0.45163985794861083,0.7801196893872339,0.9374369323915238
Nicosia,Showyou,20s,0s5pKkA3WQsR2LWjO9ZXab,2024,2024-08-27,jazz,0.3215059561153661,0.8467557874144115,0.8213912680175475,0.9136543072479548,0.8970736629667003
Perfections,Koralle,20s,5ZYgCqDnubS8OT10bDou1T,2023,2023-11-24,jazz,0.2954485777682457,0.6054776654711445,0.7232086902026321,0.04628170296316631,0.8647830474268415
Eyes Closed,"Leo Motta, Toti Cisneros",20s,0e7Zh5sczPvNV40Y9f5ujU,2024,2024-02-09,jazz,0.44177077925592156,0.6728616454733182,0.11113432212241488,0.40260828851782715,0.7628657921291625
Gymnopédies,L.Dre,20s,6r0Jqgnd5i92R2cuE0Z1q6,2023,2023-02-10,jazz,0.12006237735493558,0.6565590696663407,0.16753707959055775,0.9287146024954046,0.8879919273461151
Sabai,"flâneur, marsquake",20s,44qql1ujljCnblwDQ6cI77,2024,2024-08-27,jazz,0.448786227272454,0.8076296054776656,0.3659912262377272,0.7831317484367238,0.8385469223007064
NYC,"Jost Esser, SOFLUX",20s,2q761Wyz5BfA1Emy3t4vsI,2024,2024-01-24,jazz,0.19723230553679202,0.6033039886968808,0.2458742427407562,0.5813237921208972,0.6367305751765893
Echoes,"Mindeliq, ØNEMOR3",20s,40UK1Zl6X8GmezVlI6AZWg,2023,2023-08-25,jazz,0.26638457884261146,0.6554722312792088,0.3116774597869229,0.5401589851112014,0.9152371342078709
Level Up,Zmeyev,20s,7DLLTse2JSpe5956I6PuEx,2023,2023-11-10,jazz,0.3385434727269448,0.8847951309640256,0.5832462920409442,0.3022063202014955,0.8203834510595358
No Goodbyes,ENRA,20s,6OXEMJbqt8DYPg8lYmRxjZ,2024,2024-05-31,jazz,0.2443360279335096,0.8184979893489839,0.2803425945268435,0.5381509457448748,0.8405650857719476
Tropicana,RejSende,20s,0dHpOqqAHj1UsMWlIv3Qjk,2023,2023-04-27,jazz,0.8777307631404352,0.7771981306379742,0.816168790474201,0.6044162448336535,0.9081735620585267
Hidden Gems,"SamuW, Mendeville, Lazlow",20s,2yAs9J6qFOdr7JuaWBDsM4,2024,2024-06-07,jazz,0.40970015975177343,0.621780241278122,0.3200334238562774,0.5602393787744677,0.7336024217961655
cycles,.Eehou,20s,55nIFLXoWJDzwbTyT3v6tu,2024,2024-01-03,jazz,0.3575854030575327,0.6815563525703728,0.3670357217463965,0.3684716192902744,0.016851664984863773
Picadilly,"Erwin Do, flâneur, Beto Braga, Raouf",20s,4GP63RpTwxOCnMq5ZVnKZR,2024,2024-05-23,jazz,0.46482153702452805,0.5141832409520705,0.18216001671192814,0.25802945414230966,0.8980827447023209
Sunset Cruising,"Beats by Tobÿ, Tobÿ",20s,41yA0HytRzoAy1Po7PPgAQ,2024,2024-06-07,jazz,0.6592496677684261,0.654385392892077,0.5801128055149363,0.6265046778632465,0.7870837537840566
Moonlit Cruisin,"Banks, AC, Dryden",20s,7KB7PYSySN1TfnIvSf7wC9,2024,2024-02-23,jazz,0.40970015975177343,0.5511357461145527,0.47252976812199704,0.8945779332678518,0.9455095862764885
